point_id,point,date,datapoint_id,p-a,individuals,section_id,dfbs
p01,POINT (-68.03133 42.83433),2019-01-25,d01,1,1.0,,
p03,POINT (-68.40533 42.83532999999999),2019-01-25,d03,1,5.0,,
p04,POINT (-68.74517000000002 42.585829999999994),2019-03-02,d04,1,1.0,,
p05,POINT (-68.60333000000001 42.58583),2019-03-02,d05,1,2.0,,
p07,POINT (-68.94267 42.50233),2019-03-02,d07,1,3.0,,
p08,POINT (-67.11783000000001 42.58267),2019-03-05,d08,1,5.0,,
p10,POINT (-67.25083 42.58366999999999),2019-03-05,d10,1,1.0,,
p11,POINT (-67.4285 42.500499999999995),2019-03-05,d11,1,3.0,,
p13,POINT (-67.639 42.416999999999994),2019-03-05,d13,1,4.0,,
a03,POINT (-68.58615284621314 42.83550003159072),2019-01-25,,0,,s1,46275.31311969444
a04,POINT (-68.74356633078702 42.83567001752492),2019-01-25,,0,,s1,59141.39292312164
a07,POINT (-68.90095665227132 42.83546137962179),2019-01-25,,0,,s1,72004.72702580027
a09,POINT (-67.91972562520235 42.7506700227907),2019-01-30,,0,,s2,84527.52955064786
a11,POINT (-68.14387768288493 42.75150002700846),2019-01-30,,0,,s2,102874.6886590014
a13,POINT (-68.28967006618275 42.75217001691528),2019-01-30,,0,,s2,114807.81250168988
a15,POINT (-68.48571521441177 42.752330022482134),2019-01-30,,0,,s2,130852.05676450678
a17,POINT (-68.65628737562425 42.75250003252626),2019-01-30,,0,,s2,144811.427956455
a21,POINT (-68.84253472062169 42.75200002603747),2019-01-30,,0,,s2,160055.11318341264
a23,POINT (-68.11535766392512 42.58500002488721),2019-03-02,,0,,s3,244802.03640979677
a24,POINT (-67.94533465237204 42.584170030717104),2019-03-02,,0,,s3,258757.33971929693
a30,POINT (-67.85467740028332 42.499753123983375),2019-03-02,,0,,s3,281061.7912773362
a33,POINT (-68.01563401758968 42.501670009507855),2019-03-02,,0,,s3,294294.8871004555
a36,POINT (-68.41465992846153 42.50283000672236),2019-03-02,,0,,s3,327084.93374169775
a39,POINT (-68.69650030347873 42.50283000982145),2019-03-02,,0,,s3,350243.6874289696
a44,POINT (-67.08317000120176 42.80054467883008),2019-03-05,,0,,s4,385690.94991887413
a45,POINT (-67.24065649431697 42.750170008941524),2019-03-05,,0,,s4,403882.5743009589
a47,POINT (-67.74950000049209 42.72129559760844),2019-03-05,,0,,s4,448649.54254462436
a51,POINT (-67.64598569759558 42.66683001911203),2019-03-05,,0,,s4,462872.18202275503
a53,POINT (-67.47315547803073 42.66717003327416),2019-03-05,,0,,s4,477038.35096774326
a55,POINT (-67.34154648722735 42.66717003037786),2019-03-05,,0,,s4,487825.56314201944
a57,POINT (-67.5656232982939 42.583670013424616),2019-03-05,,0,,s4,557266.0122710126
a59,POINT (-67.74890010040556 42.546807196866936),2019-03-05,,0,,s4,575803.4471354316
a61,POINT (-67.08439859017572 42.4205328624528),2019-03-05,,0,,s4,643606.5738433491
a64,POINT (-67.25939296307388 42.41700002234303),2019-03-05,,0,,s4,658157.5799817935
