point_id,point,date,datapoint_id,p-a,individuals,point_al,section_id,dfbs
p01,POINT (-68.03021134220532 42.84288175475286),2019-01-25,d01,1,1.0,,,
p02,POINT (-68.31846467490494 42.79058800855512),2019-01-25,d02,1,2.0,,,
p03,POINT (-68.4090221378327 42.862013613117874),2019-01-25,d03,1,5.0,,,
p04,POINT (-68.73298827281369 42.660491371673),2019-03-02,d04,1,1.0,,,
p05,POINT (-68.5454960608365 42.6388085988593),2019-03-02,d05,1,2.0,,,
p06,POINT (-68.82609665019011 42.52019107699619),2019-03-02,d06,1,1.0,,,
p07,POINT (-68.95874420152091 42.48065190304182),2019-03-02,d07,1,3.0,,,
p08,POINT (-67.11698396958174 42.59161668155893),2019-03-05,d08,1,5.0,,,
p10,POINT (-67.25983517870722 42.612023997148285),2019-03-05,d10,1,1.0,,,
p11,POINT (-67.42181824619772 42.525292905893544),2019-03-05,d11,1,3.0,,,
p13,POINT (-67.6309932309886 42.424531785171084),2019-03-05,d13,1,4.0,,,
a02,POINT (-68.18610150069178 42.83559434625346),2019-01-25,,0,,POINT (566516.9327843098 4742813.315206207),s1,13577.732203931628
a03,POINT (-68.58106536941895 42.835040749652435),2019-01-25,,0,,POINT (534237.6458643199 4742632.7189303385),s1,45859.53095185818
a05,POINT (-68.71432631846716 42.83007772431052),2019-01-25,,0,,POINT (523346.76702083205 4742606.065544677),s1,56751.71921370347
a08,POINT (-68.97185618319675 42.8315408616318),2019-01-25,,0,,POINT (502300.0786322032 4742511.355646738),s1,77799.74429357311
a09,POINT (-68.01869153056296 42.74351244163754),2019-01-30,,0,,POINT (580342.3682502882 4733635.389778461),s2,92593.08932177028
a13,POINT (-68.4602862614506 42.75065504740527),2019-01-30,,0,,POINT (544167.5030126614 4733453.279344364),s2,128771.03334620151
a19,POINT (-68.96740835176892 42.58563620562768),2019-03-02,,0,,POINT (502674.284813856 4714768.58748556),s3,174879.28773741573
a22,POINT (-68.37358538676331 42.59124229820512),2019-03-02,,0,,POINT (551399.7052262457 4715013.7334841145),s3,223609.40998971427
a27,POINT (-68.20706346913789 42.588093541163786),2019-03-02,,0,,POINT (565063.8728165023 4715091.621051696),s3,237275.4937732446
a29,POINT (-68.02280301677327 42.58451694737249),2019-03-02,,0,,POINT (580184.4138951587 4715157.515109093),s3,252398.80559904082
a30,POINT (-67.87128649225856 42.5826684046974),2019-03-02,,0,,POINT (592618.5523801467 4715218.868006009),s3,264834.9123020237
a34,POINT (-68.0506791398832 42.49190628181981),2019-03-02,,0,,POINT (578000.0631370103 4705932.873927442),s3,297174.96485122864
a40,POINT (-68.28461386564796 42.49616805443095),2019-03-02,,0,,POINT (558778.1517067244 4705837.480942893),s3,316399.1860106965
a42,POINT (-68.59576349406441 42.49928173357933),2019-03-02,,0,,POINT (533213.0658918193 4705686.478526975),s3,341966.01641180954
a44,POINT (-67.08596045306889 42.86802973046035),2019-03-05,,0,,POINT (656573.8334382937 4747942.039774476),s4,378194.800176975
a46,POINT (-67.08060370273839 42.775000995510396),2019-03-05,,0,,POINT (656808.8433523149 4737611.230762058),s4,388528.2819002327
a49,POINT (-67.46756524677333 42.74839314005827),2019-03-05,,0,,POINT (625411.6296752361 4734247.444319255),s4,422459.35296181316
a54,POINT (-67.70400086551591 42.66899314318074),2019-03-05,,0,,POINT (606204.7294869934 4724614.2781867655),s4,458116.9417035252
a57,POINT (-67.39566402013465 42.6732655384458),2019-03-05,,0,,POINT (631471.8073368521 4725103.33504837),s4,483389.82896613673
a59,POINT (-67.74914180656319 42.56279650082926),2019-03-05,,0,,POINT (602799.223563174 4713003.218961646),s4,574039.4118111065
a60,POINT (-67.5546716358894 42.500917673683574),2019-03-05,,0,,POINT (618759.7442894245 4706347.138308593),s4,596537.656683355
a61,POINT (-67.12019332757829 42.498468403574854),2019-03-05,,0,,POINT (654458.4892879864 4707024.096776467),s4,632244.5993137086
a65,POINT (-67.15650109167827 42.409369265564884),2019-03-05,,0,,POINT (651676.9613186212 4697667.619853975),s4,649688.5414960509
