point_id,point,date,datapoint_id,p-a,individuals,bss,section_id,dfbs
p01,POINT (-68.03133 42.83433),2019-01-25,d0004,1,1.0,2,s001,
p03,POINT (-68.40533 42.83532999999999),2019-01-25,d0082,1,5.0,2,s001,
p04,POINT (-68.74517000000002 42.585829999999994),2019-03-02,d0480,1,1.0,1,s003,
p05,POINT (-68.60333000000001 42.58583),2019-03-02,d0510,1,2.0,1,s003,
p07,POINT (-68.94267 42.50233),2019-03-02,d0930,1,3.0,1,s003,
p08,POINT (-67.11783000000001 42.58267),2019-03-05,d1306,1,5.0,1,s004,
p10,POINT (-67.25083 42.58366999999999),2019-03-05,d1336,1,1.0,2,s004,
p11,POINT (-67.4285 42.500499999999995),2019-03-05,d1527,1,3.0,2,s004,
p12,POINT (-67.53467 42.416999999999994),2019-03-05,d1715,1,2.0,3,s004,
a01,POINT (-68.17503502462309 42.83486644666119),2019-01-25,d0034,0,,2,s001,12672.907532871652
a04,POINT (-68.6049203842078 42.83550003254915),2019-01-25,d0123,0,,3,s001,47809.11928775151
a06,POINT (-68.77092086880162 42.835670011746515),2019-01-25,d0158,0,,3,s001,61376.95963958087
a10,POINT (-67.95136731731131 42.75067000089012),2019-01-30,d0224,0,,3,s002,87117.23711999514
a13,POINT (-68.10784670299105 42.75144198305063),2019-01-30,d0252,0,,3,s002,99925.7306893415
a15,POINT (-68.45462345329854 42.75233003583241),2019-01-30,d0318,0,,3,s002,128307.60485387241
a17,POINT (-68.84886271518923 42.75200002489904),2019-01-30,d0396,0,,3,s002,160572.96812850836
a18,POINT (-68.97590458741635 42.75167000488044),2019-01-30,d0422,0,,3,s002,170970.3235932135
a21,POINT (-68.43195387945902 42.58583001923228),2019-03-02,d0546,0,,1,s003,218819.91650468027
a24,POINT (-68.05016650354408 42.58499424880923),2019-03-02,d0624,0,,2,s003,250152.50331915784
a25,POINT (-67.90199405284045 42.58383000346264),2019-03-02,d0654,0,,2,s003,262314.90762141393
a33,POINT (-68.11916580911625 42.50217000009757),2019-03-02,d0759,0,,2,s003,302803.385884867
a36,POINT (-68.3477632756531 42.50267002249989),2019-03-02,d0808,0,,2,s003,321587.91472183436
a37,POINT (-68.48569906427097 42.503000027095084),2019-03-02,d0836,0,,2,s003,332922.26612191735
a38,POINT (-67.08317000069097 42.848944497045494),2019-03-05,d0954,0,,0,s004,380314.7736678003
a42,POINT (-67.2595862698407 42.75033000958676),2019-03-05,d1019,0,,0,s004,405432.5615841166
a46,POINT (-67.56364561902484 42.75033002071168),2019-03-05,d1087,0,,0,s004,430325.3760079577
a49,POINT (-67.74967000011648 42.70735522973692),2019-03-05,d1141,0,,0,s004,450197.94670247316
a51,POINT (-67.6143286523668 42.66700001652539),2019-03-05,d1177,0,,0,s004,465467.1988135717
a55,POINT (-67.46598607794043 42.66717001134204),2019-03-05,d1204,0,,0,s004,477625.9748704835
a57,POINT (-67.33129580370654 42.667170026982426),2019-03-05,d1230,0,,0,s004,488665.76710422337
a59,POINT (-67.16565128452939 42.667000029280594),2019-03-05,d1261,0,,0,s004,502243.6985768578
a60,POINT (-67.52145177492262 42.583830022027506),2019-03-05,d1396,0,,2,s004,553640.3959747097
a61,POINT (-67.68689927045705 42.58350001100964),2019-03-05,d1433,0,,2,s004,567219.4802875805
a63,POINT (-67.74460667241341 42.50220475803492),2019-03-05,d1466,0,,2,s004,580853.1967357607
a64,POINT (-67.08283000062889 42.4412032260646),2019-03-05,d1605,0,,2,s004,641289.8375492387
